,path,label,bug_issue,hours_to_resolution,avg_hours_to_resolution,num_of_modified_files_issues,number_of_issue_report,bug_commit,number_of_commit_report,complexity,sum_added_lines,sum_deleted_lines,sum_num_lines,num_of_developers
60,ApacheRepos/myfaces-build-tools/maven2-plugins/myfaces-i18n-plugin/src/main/java/org/apache/myfaces/buildtools/maven2/plugin/i18n/uixtools/JSLocaleElementsGenerator.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
61,ApacheRepos/myfaces-build-tools/maven2-plugins/myfaces-javacc-plugin/src/test/resources/validator/SelectorParser.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
62,ApacheRepos/myfaces-build-tools/maven2-plugins/myfaces-xrts-plugin/src/main/java/org/apache/myfaces/buildtools/maven2/plugin/xrts/ListRTSWriter.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
63,ApacheRepos/activemq/activemq-client/src/main/java/org/apache/activemq/ActiveMQConnectionFactory.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
64,ApacheRepos/activemq/activemq-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/CSharpClassesGenerator.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
65,ApacheRepos/activemq/activemq-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/CSharpMarshallingGenerator.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
66,ApacheRepos/activemq/activemq-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/CppClassesGenerator.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
67,ApacheRepos/activemq/activemq-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/CppHeadersGenerator.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
68,ApacheRepos/activemq/activemq-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/CppMarshallingClassesGenerator.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
69,ApacheRepos/activemq/activemq-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/CppMarshallingHeadersGenerator.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
70,ApacheRepos/calcite/core/src/main/java/org/apache/calcite/sql/parser/SqlParseException.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
71,ApacheRepos/dolphinscheduler/dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/controller/AccessTokenController.java,1,1,764.8,0.11166593663308512,6849,3,0,4,102,67,22,580,3
72,ApacheRepos/dolphinscheduler/dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/service/AccessTokenService.java,1,1,764.8,0.11166593663308512,6849,3,0,5,85,79,24,602,2
73,ApacheRepos/dolphinscheduler/dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/service/impl/AccessTokenServiceImpl.java,1,1,22.23,1.0585714285714285,21,1,0,0,0,0,0,0,0
74,ApacheRepos/openwhisk-intellij-plugin/src/main/java/org/apache/openwhisk/intellij/explorer/dialog/trigger/ui/TriggerManagerDialogForm.java,1,0,0.0,0.0,0,0,0,1,2,22,0,18,1
75,ApacheRepos/harmony-classlib/modules/sql/src/main/java/java/sql/Connection.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
76,ApacheRepos/harmony-classlib/modules/swing/src/main/java/common/javax/swing/text/html/parser/ElementsHandler.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
77,ApacheRepos/harmony-classlib/modules/swing/src/main/java/common/javax/swing/text/html/parser/Lexer.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
78,ApacheRepos/harmony-classlib/modules/swing/src/main/java/common/javax/swing/text/html/parser/Parser.java,1,1,89.17,0.02676170468187275,3332,1,0,0,0,0,0,0,0
79,ApacheRepos/harmony-classlib/modules/swing/src/main/java/common/javax/swing/text/html/parser/ParserCup.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
80,ApacheRepos/harmony-classlib/modules/swing/src/main/java/common/javax/swing/text/html/parser/ParserSym.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
81,ApacheRepos/empire-db/empire-db/src/main/java/org/apache/empire/db/DBColumn.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
82,ApacheRepos/empire-db/empire-db/src/main/java/org/apache/empire/db/DBRowSet.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
83,ApacheRepos/empire-db/empire-db/src/main/java/org/apache/empire/db/DBTable.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
84,ApacheRepos/ode/bpel-compiler/src/main/java/org/apache/ode/bpel/compiler/BpelCompiler.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
85,ApacheRepos/sling-org-apache-sling-pipes/src/main/java/org/apache/sling/pipes/internal/PlumberImpl.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
86,ApacheRepos/maven-site-plugin/src/main/java/org/apache/maven/plugins/site/descriptor/EffectiveSiteMojo.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
87,ApacheRepos/sis/core/sis-build-helper/src/main/java/org/apache/sis/internal/book/Assembler.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
88,ApacheRepos/sis/core/sis-feature/src/main/java/org/apache/sis/feature/builder/FeatureTypeBuilder.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
89,ApacheRepos/sis/core/sis-metadata/src/test/java/org/apache/sis/metadata/iso/APIVerifier.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
90,ApacheRepos/sis/core/sis-referencing/src/main/java/org/apache/sis/referencing/operation/CoordinateOperationFinder.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
91,ApacheRepos/sis/core/sis-referencing/src/test/java/org/apache/sis/io/wkt/WKTDictionaryTest.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
92,ApacheRepos/sis/core/sis-referencing/src/test/java/org/apache/sis/referencing/report/HTMLGenerator.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
